system,noise,snr_db,PESQ,SIG,BAK,OVRL,CSIG,CBAK,COVL,n_files
SEM_uFB,cafe,7.5,1.3889135986566543,3.24256675758281,2.7546909987006893,2.44535708701424,2.547522467789812,1.6749524675892684,1.9093057661213773,40
SEM_uFB,cafe,12.5,1.636563827351826,3.4802869631811886,3.2189382495510372,2.7762729977284435,2.9933886915608503,1.9296137575710166,2.276497660629402,41
SEM_uFB,cafe,17.5,2.0125921644815583,3.4783548709280483,3.522897338307573,2.9428451030720804,3.475963205996219,2.234202174201043,2.724173246645336,41
SEM_uFB,living,2.5,1.2259010615802945,2.5350889356360335,2.0758900098317525,1.884648447417085,2.1117945835726926,1.4298925974461394,1.5825939464004979,42
SEM_uFB,living,7.5,1.4838210968744188,3.352491876976715,3.120916807021151,2.6731313600722673,2.560074426056883,1.7373237125909762,1.972392621464432,42
SEM_uFB,living,12.5,1.7658590447335016,3.478032134428265,3.4020765110257853,2.8584031528803657,3.021287302310109,1.9942551745550805,2.358120760311975,42
SEM_uFB,living,17.5,2.3003396332263946,3.4457220163931184,3.552100312450065,2.9148907205403876,3.5242621813059642,2.3852061562530986,2.8961716345198796,40
SEM_uFB,office,2.5,1.922507318854332,3.434824525950647,3.694121648730016,2.967447416704432,3.2663735803242924,1.9708093116560998,2.5644416412020172,40
SEM_uFB,office,7.5,2.465478027739176,3.372334498908987,3.909652043644112,3.0165572357387167,3.8947010057270623,2.352560323569088,3.1714050685305906,41
SEM_uFB,office,12.5,2.9116172733761014,3.4234176615578784,3.9702017173320234,3.1018376992693613,4.315266604934903,2.6694412471804503,3.6224719052359187,42
SEM_uFB,office,17.5,3.3561831160289484,3.445505789978421,4.024327102114663,3.1470608788104024,4.721040601312317,3.0097644240644215,4.075946168382515,41
SEM_uFB,psquare,2.5,1.301320971512213,3.363089763091803,2.9501673724201987,2.5889603209544534,2.6341446369492063,1.5470159418006528,1.9034469878477394,41
SEM_uFB,psquare,7.5,1.5401506026585896,3.464879123198239,3.284651562957384,2.8086391018864547,2.9821470839396382,1.8047541937803977,2.220097521366173,42
SEM_uFB,psquare,12.5,1.9356431263249094,3.5011220712791324,3.5863985322749534,2.97958940951261,3.5127217074508965,2.119902510536411,2.703875287989123,41
SEM_uFB,psquare,17.5,2.5248991478057135,3.4766097552004815,3.657847929139628,3.0049157010169836,3.9922583238679823,2.5265507037129837,3.2515859134428817,42
Unprocessed,bus,2.5,1.7624042403130304,3.328747766096557,3.0797963966323825,2.642063828139703,3.2123158263181573,1.9729248525908534,2.4354182837798426,42
Unprocessed,bus,7.5,2.2739777128870893,3.5102465098875837,3.5164778155352687,2.948876595998372,3.796601413317507,2.508147478979224,3.0143635519309684,41
Unprocessed,bus,12.5,2.685548599173383,3.5101244048358478,3.6760248349477314,3.024540577715681,4.227873109790656,2.9741757879285133,3.4549551199330093,41
Unprocessed,bus,17.5,3.2278674960136415,3.5046081547999117,3.7921335820200293,3.087591631129835,4.615702831166955,3.53505156079026,3.975280863533725,40
Unprocessed,cafe,2.5,1.1472910131726946,2.202035550418239,1.6354278680028307,1.5829066437459387,1.9492557205518026,1.5578026303586119,1.4604533778190434,42
Unprocessed,cafe,7.5,1.330308848619461,3.088669078586055,2.275910329073604,2.182972239953851,2.516830171638965,1.9336313759234494,1.8654703545157136,40
Unprocessed,cafe,12.5,1.5337744893097296,3.5317302191995505,2.9126110405059498,2.6584705386350347,2.9445916101407317,2.276480377924766,2.201252264760808,41
Unprocessed,cafe,17.5,1.9442702211984775,3.5887961184920836,3.3102813887448743,2.9163258208835794,3.4534447894343576,2.8075491992298045,2.679316380794108,41
Unprocessed,living,2.5,1.1777463668868655,2.387404324104201,1.8099075243962426,1.7134187215421677,2.097138174445016,1.560599505722872,1.5522033959326493,42
Unprocessed,living,7.5,1.403913954893748,3.3075200171885566,2.7465196727428554,2.5048473300185896,2.539877722410902,1.9456326358120752,1.9231362416606754,42
Unprocessed,living,12.5,1.6558353106180828,3.401501236729508,3.0029106260575666,2.664829714199377,2.980966481955619,2.307925064632328,2.283555222753382,42
Unprocessed,living,17.5,2.2256320387125017,3.5272073028859836,3.36272219765634,2.8866960976714493,3.490412176932351,2.8895185970216524,2.842530829132551,40
Unprocessed,office,2.5,1.7703110307455063,3.4616289793687827,3.430581788790145,2.8674304537719575,3.196203035135402,2.0716468379393187,2.452777885570115,40
Unprocessed,office,7.5,2.3270250587928585,3.453569731837255,3.6867601210866945,2.9740034815286633,3.829773287306187,2.5931468550906347,3.0697711492245165,41
Unprocessed,office,12.5,2.763767449628739,3.4649332580930547,3.863894306188693,3.086153848868077,4.258268459106453,3.0594601705579474,3.5205201246020756,42
